Date,BNO,DBA,DBC,GLD,GSG,PALL,PPLT,SLV,UNG,USO
2015-01-02,22.020000457763672,21.180374145507812,15.412327766418457,114.08000183105469,21.219999313354492,77.11000061035156,116.56999969482422,15.109999656677246,239.36000061035156,159.1199951171875
2015-01-05,20.700000762939453,21.438255310058594,15.192513465881348,115.80000305175781,20.6200008392334,77.08999633789062,117.5999984741211,15.5,237.9199981689453,150.32000732421875
2015-01-06,19.920000076293945,21.584386825561523,15.048791885375977,117.12000274658203,20.280000686645508,77.81999969482422,118.54000091552734,15.829999923706055,238.8800048828125,144.39999389648438
2015-01-07,19.969999313354492,21.481231689453125,14.955794334411621,116.43000030517578,20.219999313354492,76.80000305175781,118.31999969482422,15.850000381469727,233.27999877929688,146.9600067138672
2015-01-08,20.010000228881836,21.403871536254883,15.014972686767578,115.94000244140625,20.290000915527344,76.76000213623047,118.11000061035156,15.640000343322754,239.0399932861328,148.39999389648438
2015-01-09,19.65999984741211,21.352296829223633,14.989608764648438,117.26000213623047,20.06999969482422,77.83000183105469,119.30000305175781,15.770000457763672,239.83999633789062,146.24000549316406
2015-01-12,18.68000030517578,21.197568893432617,14.659886360168457,118.55999755859375,19.520000457763672,78.66000366210938,120.4000015258789,15.869999885559082,226.8800048828125,139.27999877929688
2015-01-13,18.520000457763672,20.991268157958984,14.600706100463867,118.16000366210938,19.3700008392334,79.16000366210938,120.0999984741211,16.290000915527344,239.0399932861328,140.9600067138672
2015-01-14,19.06999969482422,20.9396915435791,14.761340141296387,117.97000122070312,19.729999542236328,75.27999877929688,119.36000061035156,16.1299991607666,266.8800048828125,146.16000366210938
2015-01-15,18.459999084472656,20.83654022216797,14.55843448638916,120.94000244140625,19.3799991607666,74.37000274658203,121.94999694824219,16.149999618530273,257.9200134277344,139.60000610351562
2015-01-16,19.170000076293945,20.76777458190918,14.83742904663086,122.5199966430664,19.81999969482422,73.38999938964844,122.80000305175781,16.950000762939453,251.0399932861328,146.63999938964844
2015-01-20,18.489999771118164,20.6130428314209,14.63452434539795,124.19999694824219,19.34000015258789,75.44999694824219,124.36000061035156,17.18000030517578,235.0399932861328,139.83999633789062
2015-01-21,18.75,20.49270248413086,14.727521896362305,124.2300033569336,19.479999542236328,74.41000366210938,123.55999755859375,17.3700008392334,240.32000732421875,142.16000366210938
2015-01-22,18.729999542236328,20.398149490356445,14.710612297058105,125.2300033569336,19.3700008392334,75.11000061035156,124.69999694824219,17.610000610351562,232.8000030517578,139.27999877929688
2015-01-23,18.690000534057617,20.18324851989746,14.61761474609375,124.2300033569336,19.190000534057617,75.01000213623047,122.77999877929688,17.510000228881836,239.52000427246094,136.0
2015-01-26,18.459999084472656,20.217632293701172,14.566887855529785,122.98999786376953,19.110000610351562,75.5,121.30999755859375,17.1299991607666,232.8000030517578,134.9600067138672
2015-01-27,18.8799991607666,20.217632293701172,14.64297866821289,124.4000015258789,19.31999969482422,75.70999908447266,122.69000244140625,17.329999923706055,236.47999572753906,137.67999267578125
2015-01-28,18.559999465942383,20.114482879638672,14.431620597839355,123.41999816894531,19.010000228881836,76.88999938964844,121.87999725341797,17.229999542236328,232.8000030517578,132.47999572753906
2015-01-29,18.84000015258789,19.942564010620117,14.363984107971191,120.76000213623047,19.010000228881836,74.91000366210938,118.48999786376953,16.239999771118164,222.0800018310547,133.44000244140625
2015-01-30,20.030000686645508,19.8909854888916,14.710612297058105,123.44999694824219,19.700000762939453,74.8499984741211,120.4000015258789,16.540000915527344,218.72000122070312,142.55999755859375
2015-02-02,21.010000228881836,19.69327735900879,14.913518905639648,122.41999816894531,20.110000610351562,76.16000366210938,119.12999725341797,16.469999313354492,218.72000122070312,148.9600067138672
2015-02-03,22.06999969482422,19.976945877075195,15.327780723571777,121.05000305175781,20.809999465942383,76.44000244140625,119.80000305175781,16.549999237060547,225.27999877929688,156.9600067138672
2015-02-04,21.010000228881836,19.8909854888916,14.989608764648438,121.58000183105469,20.110000610351562,76.86000061035156,120.33999633789062,16.6299991607666,217.1199951171875,146.24000549316406
2015-02-05,21.719999313354492,19.959754943847656,15.192513465881348,121.79000091552734,20.5,77.12999725341797,121.77999877929688,16.579999923706055,212.47999572753906,152.24000549316406
2015-02-06,22.170000076293945,20.114482879638672,15.234783172607422,118.63999938964844,20.770000457763672,76.12999725341797,118.79000091552734,16.030000686645508,210.72000122070312,155.75999450683594
2015-02-09,22.280000686645508,20.29499626159668,15.38696575164795,119.16999816894531,20.959999084472656,75.56999969482422,118.20999908447266,16.31999969482422,212.8000030517578,158.16000366210938
2015-02-10,21.84000015258789,20.054309844970703,15.192513465881348,118.47000122070312,20.579999923706055,74.70999908447266,117.11000061035156,16.190000534057617,219.52000427246094,151.52000427246094
2015-02-11,21.209999084472656,19.96834945678711,15.074151992797852,117.06999969482422,20.290000915527344,74.44999694824219,115.76000213623047,16.079999923706055,230.39999389648438,148.0800018310547
2015-02-12,22.270000457763672,20.08009910583496,15.302423477172852,117.33999633789062,20.75,75.23999786376953,116.30999755859375,16.149999618530273,222.0800018310547,153.44000244140625
2015-02-13,23.049999237060547,20.26061248779297,15.47150707244873,117.9800033569336,21.18000030517578,76.79000091552734,117.01000213623047,16.540000915527344,227.52000427246094,156.9600067138672
2015-02-17,23.389999389648438,20.252017974853516,15.479963302612305,116.01000213623047,21.219999313354492,75.91000366210938,114.23999786376953,15.829999923706055,227.0399932861328,158.32000732421875
2015-02-18,22.59000015258789,20.105886459350586,15.293965339660645,116.33999633789062,20.860000610351562,75.51000213623047,113.98999786376953,15.75,229.75999450683594,154.0800018310547
