Date,ADA-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,TRX-USD,XRP-USD
2015-01-01,,,314.2489929199219,,,,,
2015-01-02,,,315.0320129394531,,,,,
2015-01-03,,,281.0820007324219,,,,,
2015-01-04,,,264.19500732421875,,,,,
2015-01-05,,,274.4739990234375,,,,,
2015-01-06,,,286.1889953613281,,,,,
2015-01-07,,,294.3370056152344,,,,,
2015-01-08,,,283.3489990234375,,,,,
2015-01-09,,,290.4079895019531,,,,,
2015-01-10,,,274.7959899902344,,,,,
2015-01-11,,,265.6600036621094,,,,,
2015-01-12,,,267.7959899902344,,,,,
2015-01-13,,,225.86099243164062,,,,,
2015-01-14,,,178.10299682617188,,,,,
2015-01-15,,,209.843994140625,,,,,
2015-01-16,,,208.0970001220703,,,,,
2015-01-17,,,199.25999450683594,,,,,
2015-01-18,,,210.33900451660156,,,,,
2015-01-19,,,214.86099243164062,,,,,
2015-01-20,,,211.31500244140625,,,,,
2015-01-21,,,226.89700317382812,,,,,
2015-01-22,,,233.406005859375,,,,,
2015-01-23,,,232.87899780273438,,,,,
2015-01-24,,,247.8470001220703,,,,,
2015-01-25,,,253.71800231933594,,,,,
2015-01-26,,,273.4729919433594,,,,,
2015-01-27,,,263.4750061035156,,,,,
2015-01-28,,,233.9149932861328,,,,,
2015-01-29,,,233.51300048828125,,,,,
2015-01-30,,,226.4250030517578,,,,,
2015-01-31,,,217.46400451660156,,,,,
2015-02-01,,,226.9720001220703,,,,,
2015-02-02,,,238.22900390625,,,,,
2015-02-03,,,227.26800537109375,,,,,
2015-02-04,,,226.85299682617188,,,,,
2015-02-05,,,217.11099243164062,,,,,
2015-02-06,,,222.26600646972656,,,,,
2015-02-07,,,227.75399780273438,,,,,
2015-02-08,,,223.41200256347656,,,,,
2015-02-09,,,220.11000061035156,,,,,
2015-02-10,,,219.83900451660156,,,,,
2015-02-11,,,219.18499755859375,,,,,
2015-02-12,,,221.76400756835938,,,,,
2015-02-13,,,235.427001953125,,,,,
2015-02-14,,,257.3210144042969,,,,,
2015-02-15,,,234.8249969482422,,,,,
2015-02-16,,,233.84300231933594,,,,,
