Date,SPY
2015-01-02,170.58961486816406
2015-01-05,167.50881958007812
2015-01-06,165.93101501464844
2015-01-07,167.99879455566406
2015-01-08,170.97988891601562
2015-01-09,169.60975646972656
2015-01-12,168.2810821533203
2015-01-13,167.8077392578125
2015-01-14,166.79470825195312
2015-01-15,165.2667236328125
2015-01-16,167.43414306640625
2015-01-20,167.7911834716797
2015-01-21,168.63818359375
2015-01-22,171.14599609375
2015-01-23,170.20762634277344
2015-01-26,170.606201171875
2015-01-27,168.35580444335938
2015-01-28,166.19679260253906
2015-01-29,167.73301696777344
2015-01-30,165.62380981445312
2015-02-02,167.6748809814453
2015-02-03,170.0996856689453
2015-02-04,169.45191955566406
2015-02-05,171.16262817382812
2015-02-06,170.6892852783203
2015-02-09,169.92526245117188
2015-02-10,171.735595703125
2015-02-11,171.835205078125
2015-02-12,173.4877471923828
2015-02-13,174.2018280029297
2015-02-17,174.47592163085938
2015-02-18,174.4925079345703
2015-02-19,174.36793518066406
2015-02-20,175.41427612304688
2015-02-23,175.38937377929688
2015-02-24,175.88754272460938
2015-02-25,175.7381134033203
2015-02-26,175.5305633544922
2015-02-27,174.93263244628906
2015-03-02,176.0370330810547
2015-03-03,175.3145751953125
2015-03-04,174.5755615234375
2015-03-05,174.76657104492188
2015-03-06,172.3085479736328
2015-03-09,173.02267456054688
2015-03-10,170.21595764160156
2015-03-11,169.8173828125
2015-03-12,171.97637939453125
2015-03-13,170.92176818847656
2015-03-16,173.2053985595703
2015-03-17,172.6905517578125
2015-03-18,174.76657104492188
2015-03-19,173.96932983398438
2015-03-20,175.50498962402344
2015-03-23,175.16297912597656
2015-03-24,174.17869567871094
2015-03-25,171.62635803222656
2015-03-26,171.2176513671875
2015-03-27,171.60968017578125
2015-03-30,173.70330810546875
2015-03-31,172.18519592285156
2015-04-01,171.57632446289062
2015-04-02,172.19358825683594
2015-04-06,173.35293579101562
2015-04-07,172.8941650390625
2015-04-08,173.47801208496094
2015-04-09,174.24542236328125
2015-04-10,175.19630432128906
2015-04-13,174.40394592285156
2015-04-14,174.73756408691406
2015-04-15,175.5216064453125
2015-04-16,175.4716033935547
2015-04-17,173.4530487060547
2015-04-20,175.03787231445312
2015-04-21,174.829345703125
2015-04-22,175.68853759765625
2015-04-23,176.13052368164062
2015-04-24,176.53927612304688
2015-04-27,175.8052215576172
2015-04-28,176.36407470703125
2015-04-29,175.638427734375
2015-04-30,173.8784637451172
2015-05-01,175.76358032226562
2015-05-04,176.26400756835938
2015-05-05,174.24542236328125
2015-05-06,173.528076171875
2015-05-07,174.22035217285156
2015-05-08,176.51425170898438
2015-05-11,175.67176818847656
2015-05-12,175.14627075195312
2015-05-13,175.17965698242188
2015-05-14,177.00637817382812
2015-05-15,177.1982421875
2015-05-18,177.7487030029297
2015-05-19,177.6903076171875
2015-05-20,177.56521606445312
2015-05-21,178.08233642578125
2015-05-22,177.65701293945312
2015-05-26,175.746826171875
2015-05-27,177.4151153564453
2015-05-28,177.21484375
2015-05-29,176.1138458251953
2015-06-01,176.47251892089844
2015-06-02,176.2974090576172
2015-06-03,176.76446533203125
2015-06-04,175.27139282226562
2015-06-05,174.97113037109375
2015-06-08,173.8951416015625
2015-06-09,173.87008666992188
2015-06-10,175.95538330078125
2015-06-11,176.5225830078125
2015-06-12,175.17127990722656
2015-06-15,174.42063903808594
2015-06-16,175.37152099609375
2015-06-17,175.65509033203125
2015-06-18,177.4817657470703
2015-06-19,176.69390869140625
2015-06-22,177.59913635253906
2015-06-23,177.72486877441406
2015-06-24,176.43408203125
2015-06-25,175.89768981933594
2015-06-26,175.8640899658203
2015-06-29,172.17620849609375
2015-06-30,172.53659057617188
2015-07-01,173.91957092285156
2015-07-02,173.76036071777344
2015-07-06,173.2657928466797
2015-07-07,174.35546875
2015-07-08,171.43020629882812
2015-07-09,171.74034118652344
2015-07-10,173.9027862548828
2015-07-13,175.8222198486328
2015-07-14,176.5848846435547
2015-07-15,176.52627563476562
2015-07-16,177.9427947998047
2015-07-17,178.0936737060547
2015-07-20,178.18585205078125
2015-07-21,177.4817657470703
2015-07-22,177.16326904296875
2015-07-23,176.16586303710938
2015-07-24,174.33868408203125
2015-07-27,173.324462890625
2015-07-28,175.4534454345703
2015-07-29,176.66036987304688
2015-07-30,176.70228576660156
2015-07-31,176.43408203125
2015-08-03,175.83901977539062
2015-08-04,175.49537658691406
2015-08-05,176.07366943359375
2015-08-06,174.63204956054688
2015-08-07,174.2967529296875
2015-08-10,176.49278259277344
2015-08-11,174.90025329589844
2015-08-12,175.10980224609375
2015-08-13,174.8918914794922
2015-08-14,175.52883911132812
2015-08-17,176.50950622558594
2015-08-18,175.99822998046875
2015-08-19,174.60690307617188
2015-08-20,170.9608612060547
2015-08-21,165.8144989013672
2015-08-24,158.83262634277344
2015-08-25,156.96347045898438
2015-08-26,162.9899139404297
2015-08-27,167.0214385986328
2015-08-28,167.0298614501953
2015-08-31,165.68040466308594
2015-09-01,160.7352294921875
2015-09-02,163.78616333007812
2015-09-03,163.90350341796875
2015-09-04,161.42254638671875
2015-09-08,165.47926330566406
2015-09-09,163.2664794921875
2015-09-10,164.15493774414062
2015-09-11,164.9009246826172
2015-09-14,164.28904724121094
2015-09-15,166.34254455566406
2015-09-16,167.78424072265625
2015-09-17,167.4070281982422
2015-09-18,164.6713409423828
2015-09-21,165.52232360839844
2015-09-22,163.3738250732422
2015-09-23,163.1127166748047
2015-09-24,162.5228729248047
2015-09-25,162.48077392578125
2015-09-28,158.40296936035156
2015-09-29,158.4956512451172
