,weight
DE,0.0013125751562078772
COP,0.001026122992742582
VRTX,0.0014399372375187773
CB,0.006442030599471081
BX,0.0
PH,0.000913184908700869
CEG,0.0
BMY,0.0014588079126426064
NEM,0.0010208435545631669
CMCSA,0.0
ADP,0.0
MCK,0.004846635114604966
CVS,0.0033271422790205917
LMT,0.0026565122126935284
CME,0.007164069781923293
TMUS,0.0
MO,0.007706320660122994
SO,0.0
SBUX,0.0010938579993610828
ICE,0.0
DUK,0.005146474583041802
MMC,0.0
HOOD,0.000550065931546928
KKR,0.0
SNPS,0.0
TT,0.0
GD,0.001103220438753183
CDNS,0.0
MMM,0.0009665920546617671
DASH,0.0
CRH,0.0010240799056075247
USB,0.0009608123469308659
HWM,0.0013080585152948072
AMT,0.0
PNC,0.0011193890048123692
WM,0.0048441338931956
BK,0.001614763420885297
MCO,0.006229916486432263
ELV,0.0
REGN,0.0020209702003458146
ORLY,0.005236398515109154
NOC,0.0017293831568154694
GM,0.0010012795651879551
AON,0.0
NKE,0.0
EQIX,0.001535034721921062
TDG,0.002090258878274001
SHW,0.0
HCA,0.0029738207914422345
EMR,0.0007357970456094993
CI,0.0
WMB,0.003630284326647514
UPS,0.0012130162603744689
JCI,0.0015323112066885102
FCX,0.0006391700896396755
WBD,0.0009720664306493684
RCL,0.0
CMI,0.0007846730386702916
MDLZ,0.0
MAR,0.0009581072280441909
GLW,0.0008030274574783293
CSX,0.001528391597655538
APO,0.0
TEL,0.0007498901912139216
ECL,0.005003594100934734
HLT,0.0012655314531332409
AJG,0.0
COR,0.0051548836737368466
ITW,0.0011192388475272349
NSC,0.0015992790919924927
TRV,0.004840069502729367
CTAS,0.0
MSI,0.0
CL,0.0
ADSK,0.0
TFC,0.000936693765772616
PWR,0.0009064896905032506
FDX,0.0009064994818290296
AEP,0.006209700033827579
SPG,0.005372126467452766
STX,0.0006471182098246388
CVNA,0.0008826279989557525
WDC,0.0006018582609545714
ROST,0.0012065197051811412
ABNB,0.0
SRE,0.004490725757887145
PCAR,0.0007726620923811297
SLB,0.0006948412886828378
EOG,0.0
AZO,0.005049262978910399
BDX,0.0010615735796513208
ZTS,0.0
APD,0.0
LHX,0.0013931905986150634
MNST,0.007049102119504137
NXPI,0.0
PYPL,0.0
ALL,0.0
IDXX,0.000823811261297387
KMI,0.003948728145311479
AFL,0.005458059325078674
PSX,0.0010873028111470944
O,0.005670746826874788
COIN,0.0
URI,0.0007140259667753735
VST,0.0
F,0.0008760411873476375
FTNT,0.0
D,0.004321318502673369
DLR,0.0
VLO,0.0012054332419230516
EW,0.002191825598080407
CMG,0.0
MPC,0.0
CAH,0.004990289333619419
ROP,0.0
AME,0.0011485485220838019
CBRE,0.004430547732483895
